name,dt,rx,ry,rz,vx,vy,vz,m
figure8,0.01,0.97000436,-0.24308753,0.0,0.466203685,0.43236573,0.0,1.0
figure8,0.01,-0.97000436,0.24308753,0.0,0.466203685,0.43236573,0.0,1.0
figure8,0.01,0.0,0.0,0.0,-0.93240737,-0.86473146,0.0,1.0
three_chaotic,0.01,-1.0,0.0,0.0,0.0,-0.4,0.0,1.0
three_chaotic,0.01,1.0,0.0,0.0,0.0,0.4,0.0,1.0
three_chaotic,0.01,0.0,0.8,0.0,0.35,0.0,0.0,1.0
four_ring,0.01,1.0,0.0,0.0,0.0,0.8226643880080363,0.0,1.0
four_ring,0.01,0.0,1.0,0.0,-0.8226643880080363,0.0,0.0,1.0
four_ring,0.01,-1.0,0.0,0.0,0.0,-0.8226643880080363,0.0,1.0
four_ring,0.01,0.0,-1.0,0.0,0.8226643880080363,0.0,0.0,1.0
two_barycentric,0.01,-1.0,0.0,0.0,0.0,-0.5,0.0,1.0
two_barycentric,0.01,1.0,0.0,0.0,0.0,0.5,0.0,1.0
two_circular,0.01,-0.009900990099009901,0.0,0.0,0.0,0.09950371902099892,0.0,100.0
two_circular,0.01,0.9900990099009901,0.0,0.0,0.0,-9.95037190209989,0.0,1.0
two_elliptical,0.01,-0.02395209580838323,0.0,0.0,0.0,0.016313626141079878,0.0,500.0
two_elliptical,0.01,11.976047904191617,0.0,0.0,0.0,-8.15681307053994,0.0,1.0
solar_system,0.0005,-0.01007071004629411,0.0,0.0,0.0,-0.005363070895768988,0.0,100.0
solar_system,0.0005,0.3769292899537059,0.0,0.0,0.0,16.069399002323056,0.0,1.66e-05
solar_system,0.0005,0.7129292899537059,0.0,0.0,0.0,11.755288485654072,0.0,0.0002448
solar_system,0.0005,0.9899292899537059,0.0,0.0,0.0,9.99465194409296,0.0,0.0003003
solar_system,0.0005,1.513929289953706,0.0,0.0,0.0,8.095057848711011,0.0,3.227e-05
solar_system,0.0005,5.192929289953706,0.0,0.0,0.0,4.380754581508711,0.0,0.09546
solar_system,0.0005,9.526929289953706,0.0,0.0,0.0,3.233228345601106,0.0,0.02858
solar_system,0.0005,19.180929289953706,0.0,0.0,0.0,2.277399156539302,0.0,0.004366
solar_system,0.0005,30.058929289953706,0.0,0.0,0.0,1.818329757481797,0.0,0.00515
